NUMERO_POLICE,CODE_SOUS_BRANCHE,NUM_AVNT_COURS,DATE_EFFET,DATE_EXPIRATION,TYPE,WILAYA,COMMUNE,CAPITAL_ASSURE,PRIME_NETTE
16330013230012,3302,0,03/01/2023,02/01/2024,1 - Installation Industrielle,9 - BLIDA,111 - BIRTOUTA,1000000,"2500,000"
34303003230006,3302,0,04/01/2023,03/01/2024,1 - Installation Industrielle,34 - B.B ARRERIDJ,368 - BORDJ BOU ARRERIDJ,1000000,"2500,000"
19306003230396,3302,0,10/05/2023,09/05/2024,1 - Installation Industrielle,19 - SETIF,1158 - EL EULMA,60000000,"25800,000"
23304003230170,3302,0,04/12/2023,03/12/2024,1 - Installation Industrielle,23 - ANNABA,155 - AIN BERDA,50000000,"-21500,000"
23304003230170,3302,0,04/12/2023,03/12/2024,1 - Installation Industrielle,23 - ANNABA,155 - AIN BERDA,50000000,"21500,000"
06309003230005,3302,0,12/01/2023,11/01/2024,1 - Installation Industrielle,6 - BEJAIA,297 - TAZMALT,2000000,"2500,000"
42303003230012,3302,0,22/01/2023,21/01/2024,1 - Installation Industrielle,42 - TIPAZA,1394 - BOU ISMAIL,6000000,"3000,000"
15309003240008,3302,0,01/01/2024,31/12/2024,1 - Installation Industrielle,15 - TIZI OUZOU,1498 - TIGZIRT,44000000,"18920,000"
16340003230331,3302,0,09/10/2023,08/10/2024,1 - Installation Industrielle,35 - BOUMERDES,459 - KHEMIS EL KHECHNA,11000000,"5170,000"
34303003240001,3302,0,03/01/2024,02/01/2025,1 - Installation Industrielle,34 - B.B ARRERIDJ,368 - BORDJ BOU ARRERIDJ,1000000,"2500,000"
09306003230275,3302,0,11/09/2023,10/09/2024,1 - Installation Industrielle,9 - BLIDA,362 - SOUMAA BLIDA,1000000,"2500,000"
06309003230136,3302,0,14/12/2023,13/12/2024,1 - Installation Industrielle,6 - BEJAIA,297 - TAZMALT,4000000,"2500,000"
31310003230388,3302,0,03/10/2023,02/10/2024,1 - Installation Industrielle,31 - ORAN,1011 - ES SENIA,1000000,"2500,000"
19306003230679,3302,0,31/07/2023,30/07/2024,1 - Installation Industrielle,19 - SETIF,1158 - EL EULMA,34000000,"14620,000"
16245003230034,3302,001,03/05/2023,29/02/2024,1 - Installation Industrielle,16 - ALGER,99 - ALGER,"8389997969,33","0,000"
16331023230175,3302,0,25/09/2023,24/09/2024,1 - Installation Industrielle,16 - ALGER,108 - BENI MESSOUS,6840000,"3420,000"
43301023230043,3302,0,04/07/2023,03/07/2024,1 - Installation Industrielle,43 - MILA,894 - TADJENANET,2200000,"2500,000"
35302003230011,3302,0,01/03/2023,29/02/2024,1 - Installation Industrielle,35 - BOUMERDES,469 - TAOURGA,1000000,"2500,000"
34303003230084,3302,0,14/06/2023,13/06/2024,1 - Installation Industrielle,34 - B.B ARRERIDJ,369 - BORDJ GHDIR,1000000,"2500,000"
16311003230429,3302,0,12/11/2023,11/11/2024,1 - Installation Industrielle,16 - ALGER,137 - LES EUCALYPTUS,2500000,"2500,000"
10302003230277,3302,0,06/10/2023,05/10/2024,1 - Installation Industrielle,10 - BOUIRA,410 - BOUIRA,1000000,"2500,000"
16245003230072,3302,0,01/10/2023,31/12/2023,1 - Installation Industrielle,16 - ALGER,124 - EL ACHOUR,"325646575,6","-41040,391"
16245003230072,3302,0,01/10/2023,31/12/2023,1 - Installation Industrielle,16 - ALGER,124 - EL ACHOUR,"325646575,6","41040,391"
31201003230075,3302,0,05/10/2023,04/10/2024,1 - Installation Industrielle,31 - ORAN,1011 - ES SENIA,2000000,"2500,000"
14301003230169,3302,0,26/06/2023,25/06/2024,1 - Installation Industrielle,14 - TIARET,1384 - TIARET,8470000,"3388,000"
34303003230045,3302,0,30/03/2023,29/03/2024,1 - Installation Industrielle,34 - B.B ARRERIDJ,376 - EL HAMMADIA,1000000,"2500,000"
19306003230336,3302,0,14/04/2023,13/04/2024,1 - Installation Industrielle,19 - SETIF,1158 - EL EULMA,3000000,"2500,000"
19306003230447,3302,0,21/05/2023,20/05/2024,1 - Installation Industrielle,19 - SETIF,1140 - BAZER SAKRA,7500000,"3225,000"
09306003240011,3302,0,08/01/2024,07/01/2025,1 - Installation Industrielle,9 - BLIDA,362 - SOUMAA BLIDA,1000000,"2500,000"
21201003230038,3302,0,06/04/2023,05/04/2024,1 - Installation Industrielle,21 - SKIKDA,1277 - SKIKDA,9500000,"4085,000"
19306003230639,3302,0,20/07/2023,19/07/2024,1 - Installation Industrielle,19 - SETIF,1158 - EL EULMA,55000000,"23650,000"
34303003230136,3302,0,15/11/2023,14/11/2024,1 - Installation Industrielle,34 - B.B ARRERIDJ,368 - BORDJ BOU ARRERIDJ,1000000,"2500,000"
11301003230164,3302,0,08/03/2023,07/03/2024,1 - Installation Industrielle,11 - TAMENRASSET,1308 - ABALESSA,1000000,"2500,000"
19306013230018,3302,0,01/03/2023,29/02/2024,1 - Installation Industrielle,19 - SETIF,1185 - TAYA,1000000,"2500,000"
16331023230123,3302,001,12/07/2023,10/07/2024,1 - Installation Industrielle,35 - BOUMERDES,465 - OULED MOUSSA,53400000,"0,000"
16330013230056,3302,0,19/01/2023,18/01/2024,1 - Installation Industrielle,9 - BLIDA,362 - SOUMAA BLIDA,1000000,"2500,000"
16330003230241,3302,0,23/08/2023,22/08/2024,1 - Installation Industrielle,16 - ALGER,114 - BORDJ EL KIFFAN,1000000,"2500,000"
35302003230018,3302,0,11/04/2023,10/04/2024,1 - Installation Industrielle,35 - BOUMERDES,469 - TAOURGA,1000000,"2500,000"
19306003231219,3302,001,26/12/2023,23/12/2024,1 - Installation Industrielle,19 - SETIF,1182 - SETIF,"715700700,7","0,000"
14301003230131,3302,0,18/05/2023,17/05/2024,1 - Installation Industrielle,14 - TIARET,1384 - TIARET,8470000,"3388,000"
19306023230003,3302,0,30/01/2023,29/01/2024,1 - Installation Industrielle,19 - SETIF,1149 - BIR EL ARCH,1000000,"2500,000"
22202003230019,3302,0,16/03/2023,15/03/2024,1 - Installation Industrielle,22 - SIDI BEL ABBES,1223 - SIDI BEL ABBES,1000000,"2500,000"
16330003230161,3302,0,10/06/2023,09/06/2024,1 - Installation Industrielle,9 - BLIDA,360 - OULED YAICH BLIDA,1000000,"2500,000"
16330013230347,3302,0,10/10/2023,09/10/2024,1 - Installation Industrielle,9 - BLIDA,344 - BOUFARIK,1000000,"2500,000"
19306003230515,3302,0,11/06/2023,10/06/2024,1 - Installation Industrielle,19 - SETIF,1140 - BAZER SAKRA,20000000,"8600,000"
34301003240028,3302,0,09/01/2024,08/01/2025,1 - Installation Industrielle,34 - B.B ARRERIDJ,368 - BORDJ BOU ARRERIDJ,2000000,"2500,000"
43304003240001,3302,0,01/01/2024,31/12/2024,1 - Installation Industrielle,43 - MILA,891 - ROUACHED,453292203,"194915,650"
34303003230003,3302,0,05/01/2023,04/01/2024,1 - Installation Industrielle,34 - B.B ARRERIDJ,368 - BORDJ BOU ARRERIDJ,1000000,"2500,000"
16334003230278,3302,001,02/11/2023,01/11/2024,1 - Installation Industrielle,17 - DJELFA,527 - BENHAR,44000000,"0,000"
31202003230005,3302,001,16/01/2023,15/01/2024,1 - Installation Industrielle,48 - RELIZANE,1104 - SIDI KHETTAB,"373521464,65","0,000"
09306003230152,3302,0,20/05/2023,19/05/2024,1 - Installation Industrielle,9 - BLIDA,340 - BENI MERED,1000000,"2500,000"
19306003231219,3302,0,24/12/2023,23/12/2024,1 - Installation Industrielle,19 - SETIF,1182 - SETIF,"715700700,7","307751,300"
34301003230293,3302,0,04/08/2023,03/08/2024,1 - Installation Industrielle,34 - B.B ARRERIDJ,374 - EL ANSEUR,7000000,"3010,000"
09306003230208,3302,0,06/07/2023,05/07/2024,1 - Installation Industrielle,9 - BLIDA,360 - OULED YAICH BLIDA,1000000,"2500,000"
09213003230108,3302,0,21/03/2023,20/03/2024,1 - Installation Industrielle,9 - BLIDA,342 - BLIDA,8000000,"4000,000"
19306003230968,3302,001,15/10/2023,14/10/2024,1 - Installation Industrielle,19 - SETIF,1182 - SETIF,9568000,"0,000"
34303003230149,3302,0,12/12/2023,11/12/2024,1 - Installation Industrielle,34 - B.B ARRERIDJ,368 - BORDJ BOU ARRERIDJ,1000000,"2500,000"
19306003230987,3302,0,19/10/2023,18/10/2024,1 - Installation Industrielle,19 - SETIF,1162 - GUELTA ZERGA,50000000,"21500,000"
16245003220081,3302,001,01/01/2023,31/12/2023,1 - Installation Industrielle,19 - SETIF,1182 - SETIF,"4720133677,75","0,000"
16314003230122,3302,0,10/04/2023,09/04/2024,1 - Installation Industrielle,16 - ALGER,141 - OUED SMAR,37000000,"30710,000"
16245003230099,3302,001,01/01/2024,31/12/2024,1 - Installation Industrielle,19 - SETIF,1182 - SETIF,"631847563,69","0,000"
09306003240021,3302,0,14/01/2024,13/01/2025,1 - Installation Industrielle,9 - BLIDA,342 - BLIDA,1000000,"2500,000"
25216003230068,3302,0,29/06/2023,28/06/2024,1 - Installation Industrielle,25 - CONSTANTINE,515 - EL KHROUB,20000000,"8600,000"
09306003230298,3302,0,17/01/2024,16/01/2025,1 - Installation Industrielle,9 - BLIDA,362 - SOUMAA BLIDA,1000000,"2500,000"
16330013230047,3302,0,18/01/2023,17/01/2024,1 - Installation Industrielle,9 - BLIDA,352 - GUERROUAOU,1000000,"2500,000"
35303043230433,3302,0,20/12/2023,19/12/2024,1 - Installation Industrielle,16 - ALGER,449 - BOUDOUAOU EL BAHRI,5000000,"2500,000"
09306003230044,3302,0,08/02/2023,07/02/2024,1 - Installation Industrielle,9 - BLIDA,360 - OULED YAICH BLIDA,1000000,"2500,000"
16336003230258,3302,0,23/11/2023,22/11/2024,1 - Installation Industrielle,16 - ALGER,1417 - TIPAZA,1000000,"2500,000"
35302003230005,3302,0,14/02/2023,13/02/2024,1 - Installation Industrielle,35 - BOUMERDES,469 - TAOURGA,1000000,"2500,000"
15304003230190,3302,0,28/05/2023,27/05/2024,1 - Installation Industrielle,15 - TIZI OUZOU,1504 - TIZI RACHED,105000000,"45150,000"
09306003230110,3302,0,02/04/2023,01/04/2024,1 - Installation Industrielle,9 - BLIDA,342 - BLIDA,1000000,"2500,000"
43303013230051,3302,0,16/03/2023,15/03/2024,1 - Installation Industrielle,4 - OUM EL BOUAGHI,1049 - AIN KERCHA,1500000,"2500,000"
16245003230099,3302,0,01/01/2024,31/12/2024,1 - Installation Industrielle,19 - SETIF,1182 - SETIF,"631847563,69","271694,450"
16311003230469,3302,0,12/12/2023,11/12/2024,1 - Installation Industrielle,16 - ALGER,137 - LES EUCALYPTUS,2000000,"2500,000"
06309003230025,3302,0,02/02/2023,01/02/2024,1 - Installation Industrielle,10 - BOUIRA,412 - CHORFA BOUIRA,2000000,"2500,000"
15308003230165,3302,0,22/03/2023,21/03/2024,1 - Installation Industrielle,15 - TIZI OUZOU,1503 - TIZI OUZOU,21000000,"9030,000"
42303003230045,3302,0,12/05/2023,11/05/2024,1 - Installation Industrielle,42 - TIPAZA,1395 - BOUHAROUN,4000000,"2500,000"
09213003230328,3302,0,18/10/2023,17/10/2024,1 - Installation Industrielle,9 - BLIDA,341 - BENI TAMOU,25000000,"12500,000"
34301003230595,3302,0,25/12/2023,24/12/2024,1 - Installation Industrielle,34 - B.B ARRERIDJ,368 - BORDJ BOU ARRERIDJ,2000000,"2500,000"
31201003220138,3302,002,31/01/2023,31/12/2023,1 - Installation Industrielle,31 - ORAN,1019 - ORAN,796943000,"0,000"
14301003230008,3302,0,11/01/2023,10/01/2024,1 - Installation Industrielle,14 - TIARET,1384 - TIARET,2000000,"2500,000"
35302003230007,3302,0,17/02/2023,16/02/2024,1 - Installation Industrielle,35 - BOUMERDES,469 - TAOURGA,1000000,"2500,000"
23302063230037,3302,0,03/09/2023,02/09/2024,1 - Installation Industrielle,36 - EL TAREF,621 - ECHATT,6000000,"2580,000"
14301003230003,3302,0,08/01/2023,07/01/2024,1 - Installation Industrielle,14 - TIARET,1384 - TIARET,155030000,"62012,000"
42303003240012,3302,0,22/01/2024,21/01/2025,1 - Installation Industrielle,42 - TIPAZA,1394 - BOU ISMAIL,6000000,"3000,000"
09306003240016,3302,0,11/01/2024,10/01/2025,1 - Installation Industrielle,35 - BOUMERDES,459 - KHEMIS EL KHECHNA,1000000,"2500,000"
35302003230032,3302,0,19/06/2023,18/06/2024,1 - Installation Industrielle,35 - BOUMERDES,469 - TAOURGA,2000000,"2500,000"
19307003230047,3302,0,09/07/2023,08/07/2024,1 - Installation Industrielle,19 - SETIF,1143 - BENI AZIZ,1000000,"2500,000"
09306003230283,3302,0,26/09/2023,25/09/2024,1 - Installation Industrielle,9 - BLIDA,360 - OULED YAICH BLIDA,1000000,"2500,000"
16334003230297,3302,0,15/11/2023,14/11/2024,1 - Installation Industrielle,16 - ALGER,124 - EL ACHOUR,7000000,"3500,000"
19306003230773,3302,0,03/09/2023,02/09/2024,1 - Installation Industrielle,19 - SETIF,1159 - EL OUELDJA SETIF,23000000,"9890,000"
34301003230177,3302,0,08/05/2023,07/05/2024,1 - Installation Industrielle,34 - B.B ARRERIDJ,374 - EL ANSEUR,2000000,"2500,000"
34303003230028,3302,0,05/02/2023,04/02/2024,1 - Installation Industrielle,34 - B.B ARRERIDJ,368 - BORDJ BOU ARRERIDJ,9000000,"-3870,000"
34303003230028,3302,0,05/02/2023,04/02/2024,1 - Installation Industrielle,34 - B.B ARRERIDJ,368 - BORDJ BOU ARRERIDJ,9000000,"3870,000"
14301003230169,3302,001,26/06/2023,25/06/2024,1 - Installation Industrielle,14 - TIARET,1384 - TIARET,8470000,"0,000"
16309033230171,3302,0,14/12/2023,13/12/2024,1 - Installation Industrielle,9 - BLIDA,362 - SOUMAA BLIDA,24000000,"12000,000"
29301003230075,3302,0,25/10/2023,24/10/2024,1 - Installation Industrielle,29 - MASCARA,802 - TIGHENNIF,50000000,"21500,000"
09306003230214,3302,0,11/07/2023,10/07/2024,1 - Installation Industrielle,9 - BLIDA,360 - OULED YAICH BLIDA,1000000,"2500,000"
15304003230190,3302,001,28/05/2023,27/05/2024,1 - Installation Industrielle,15 - TIZI OUZOU,1504 - TIZI RACHED,105000000,"0,000"
43303013230115,3302,0,21/09/2023,20/09/2024,1 - Installation Industrielle,4 - OUM EL BOUAGHI,1050 - AIN MLILA,1000000,"2500,000"
16330013230030,3302,0,10/01/2023,09/01/2024,1 - Installation Industrielle,9 - BLIDA,344 - BOUFARIK,1000000,"2500,000"
16330013230119,3302,0,15/02/2023,14/02/2024,1 - Installation Industrielle,9 - BLIDA,344 - BOUFARIK,1000000,"2500,000"
02301003230084,3302,002,20/09/2023,19/09/2024,1 - Installation Industrielle,38 - TISSEMSILT,1438 - TISSEMSILT,"79264154,8","10545,916"
43303013230009,3302,0,10/01/2023,09/01/2024,1 - Installation Industrielle,4 - OUM EL BOUAGHI,1050 - AIN MLILA,1500000,"2500,000"
23302003230066,3302,0,13/02/2023,12/02/2024,1 - Installation Industrielle,23 - ANNABA,162 - EL BOUNI,1000000,"2500,000"
02301003230084,3302,001,20/09/2023,19/09/2024,1 - Installation Industrielle,38 - TISSEMSILT,1438 - TISSEMSILT,"54738769,8","0,000"
19309003230286,3302,0,17/04/2023,16/04/2024,1 - Installation Industrielle,19 - SETIF,1140 - BAZER SAKRA,15000000,"6450,000"
22202003230020,3302,0,04/04/2023,03/04/2024,1 - Installation Industrielle,22 - SIDI BEL ABBES,1223 - SIDI BEL ABBES,1000000,"2500,000"
09215003230057,3302,0,30/04/2023,29/04/2024,1 - Installation Industrielle,9 - BLIDA,342 - BLIDA,2000000,"2500,000"
09213003230293,3302,0,25/09/2023,24/09/2024,1 - Installation Industrielle,9 - BLIDA,341 - BENI TAMOU,10000000,"5000,000"
31313003230015,3302,0,26/09/2023,25/09/2024,1 - Installation Industrielle,31 - ORAN,1011 - ES SENIA,12000000,"5160,000"
35302003230013,3302,0,12/03/2023,11/03/2024,1 - Installation Industrielle,35 - BOUMERDES,469 - TAOURGA,1000000,"2500,000"
02301003230031,3302,001,02/03/2023,18/02/2024,1 - Installation Industrielle,2 - CHLEF,480 - BOUKADIR,90000000,"34091,096"
35303053230106,3302,0,17/05/2023,16/05/2024,1 - Installation Industrielle,35 - BOUMERDES,471 - TIDJELABINE,2102543005,"1051271,500"
34303003230042,3302,0,16/03/2023,15/03/2024,1 - Installation Industrielle,34 - B.B ARRERIDJ,368 - BORDJ BOU ARRERIDJ,60000000,"25800,000"
16340003230119,3302,0,07/04/2023,06/04/2024,1 - Installation Industrielle,35 - BOUMERDES,459 - KHEMIS EL KHECHNA,48000000,"22560,000"
16335003230177,3302,0,28/05/2023,27/05/2024,1 - Installation Industrielle,16 - ALGER,114 - BORDJ EL KIFFAN,1000000,"2500,000"
15304003230191,3302,0,28/05/2023,27/05/2024,1 - Installation Industrielle,15 - TIZI OUZOU,1504 - TIZI RACHED,110000000,"47300,000"
16331003230414,3302,0,01/01/2024,31/12/2024,1 - Installation Industrielle,25 - CONSTANTINE,515 - EL KHROUB,501000000,"215430,000"
43303013240011,3302,0,21/01/2024,20/01/2025,1 - Installation Industrielle,4 - OUM EL BOUAGHI,1050 - AIN MLILA,1000000,"2500,000"
14301003230177,3302,001,11/07/2023,10/07/2024,1 - Installation Industrielle,14 - TIARET,1384 - TIARET,8764070,"0,000"
16350003230199,3302,0,01/08/2023,31/07/2024,1 - Installation Industrielle,16 - ALGER,118 - CHERAGA ALGER,2000000,"2500,000"
09306003230284,3302,0,27/09/2023,26/09/2024,1 - Installation Industrielle,9 - BLIDA,360 - OULED YAICH BLIDA,1000000,"2500,000"
14301003230124,3302,0,14/05/2023,13/05/2024,1 - Installation Industrielle,14 - TIARET,1384 - TIARET,2000000,"2500,000"
09215003230117,3302,0,15/09/2023,14/09/2024,1 - Installation Industrielle,9 - BLIDA,342 - BLIDA,3000000,"2500,000"
19313003230069,3302,0,22/02/2023,21/02/2024,1 - Installation Industrielle,19 - SETIF,1182 - SETIF,5000000,"2650,000"
16301003230075,3302,0,01/02/2023,31/01/2024,1 - Installation Industrielle,16 - ALGER,111 - BIRTOUTA,24000000,"12000,000"
16245003230109,3302,002,01/01/2024,31/12/2024,1 - Installation Industrielle,9 - BLIDA,356 - MOUZAIA,"1780900059,07","890450,030"
16334003230114,3302,0,14/05/2023,13/05/2024,1 - Installation Industrielle,16 - ALGER,110 - BIR MOURAD RAIS,12000000,"6000,000"
22202003230050,3302,0,01/07/2023,30/06/2024,1 - Installation Industrielle,22 - SIDI BEL ABBES,1223 - SIDI BEL ABBES,11000000,"4400,000"
09306003230092,3302,0,14/03/2023,13/03/2024,1 - Installation Industrielle,9 - BLIDA,360 - OULED YAICH BLIDA,1000000,"2500,000"
23302013240003,3302,0,01/01/2024,31/12/2024,1 - Installation Industrielle,36 - EL TAREF,614 - BESBES EL TARF,"1640833620,49","705558,460"
09306003230308,3302,0,15/10/2023,14/10/2024,1 - Installation Industrielle,9 - BLIDA,360 - OULED YAICH BLIDA,1000000,"2500,000"
16323003230186,3302,0,28/10/2023,27/10/2024,1 - Installation Industrielle,35 - BOUMERDES,459 - KHEMIS EL KHECHNA,230000000,"108100,000"
19306003230497,3302,0,06/06/2023,05/06/2024,1 - Installation Industrielle,19 - SETIF,1182 - SETIF,110000000,"47300,000"
19313003230135,3302,0,23/03/2023,22/03/2024,1 - Installation Industrielle,19 - SETIF,1182 - SETIF,5000000,"2650,000"
19306003230112,3302,0,26/01/2023,25/01/2024,1 - Installation Industrielle,19 - SETIF,1158 - EL EULMA,66000000,"-28380,000"
19306003230112,3302,0,26/01/2023,25/01/2024,1 - Installation Industrielle,19 - SETIF,1158 - EL EULMA,66000000,"28380,000"
09306003230310,3302,0,01/11/2023,31/10/2024,1 - Installation Industrielle,9 - BLIDA,352 - GUERROUAOU,1000000,"2500,000"
09306003230370,3302,0,26/12/2023,25/12/2024,1 - Installation Industrielle,9 - BLIDA,360 - OULED YAICH BLIDA,1000000,"2500,000"
42304003230183,3302,0,16/04/2023,15/04/2024,1 - Installation Industrielle,42 - TIPAZA,167 - SIDI AMER,3000000,"2500,000"
10302003240018,3302,0,18/01/2024,17/01/2025,1 - Installation Industrielle,10 - BOUIRA,424 - HAIZER,1000000,"2500,000"
29301003230075,3302,001,25/10/2023,24/10/2024,1 - Installation Industrielle,29 - MASCARA,802 - TIGHENNIF,50000000,"0,000"
16308033230280,3302,0,01/01/2024,31/12/2024,1 - Installation Industrielle,16 - ALGER,102 - BABA HASSEN,7500000,"3750,000"
15305013230001,3302,0,03/01/2023,02/01/2024,1 - Installation Industrielle,15 - TIZI OUZOU,1472 - FREHA,2000000,"2500,000"
14301003230131,3302,001,18/05/2023,17/05/2024,1 - Installation Industrielle,14 - TIARET,1384 - TIARET,8470000,"0,000"
09306003230185,3302,0,14/06/2023,13/06/2024,1 - Installation Industrielle,9 - BLIDA,352 - GUERROUAOU,1000000,"2500,000"
19306003230517,3302,0,12/06/2023,11/06/2024,1 - Installation Industrielle,19 - SETIF,1158 - EL EULMA,15000000,"6450,000"
16319003230061,3302,0,05/04/2023,04/04/2024,1 - Installation Industrielle,16 - ALGER,154 - ZERALDA,5000000,"2500,000"
16340003230104,3302,0,20/03/2023,19/03/2024,1 - Installation Industrielle,35 - BOUMERDES,459 - KHEMIS EL KHECHNA,50000000,"23500,000"
14301003230374,3302,001,28/12/2023,27/12/2024,1 - Installation Industrielle,14 - TIARET,1384 - TIARET,13000000,"0,000"
19306003230557,3302,0,21/06/2023,20/06/2024,1 - Installation Industrielle,19 - SETIF,1158 - EL EULMA,11000000,"4730,000"
26301003230184,3302,0,09/08/2023,08/08/2024,1 - Installation Industrielle,26 - MEDEA,813 - BERROUAGHIA,21000000,"9030,000"
16352003230025,3302,0,20/11/2023,19/11/2024,1 - Installation Industrielle,35 - BOUMERDES,465 - OULED MOUSSA,10000000,"4700,000"
09306003230196,3302,0,19/06/2023,18/06/2024,1 - Installation Industrielle,9 - BLIDA,360 - OULED YAICH BLIDA,1000000,"2500,000"
43303013230089,3302,0,27/07/2023,26/07/2024,1 - Installation Industrielle,4 - OUM EL BOUAGHI,1050 - AIN MLILA,1000000,"2500,000"
09306003230156,3302,0,16/05/2023,15/05/2024,1 - Installation Industrielle,9 - BLIDA,342 - BLIDA,1000000,"2500,000"
09306003230078,3302,0,05/03/2023,04/03/2024,1 - Installation Industrielle,9 - BLIDA,362 - SOUMAA BLIDA,1000000,"2500,000"
19310003240004,3302,0,01/01/2024,31/12/2024,1 - Installation Industrielle,19 - SETIF,1182 - SETIF,425362781,"182906,000"
25301013230041,3302,0,23/02/2023,22/02/2024,1 - Installation Industrielle,21 - SKIKDA,1260 - EL HARROUCH,1000000,"2500,000"
35303053230098,3302,0,10/05/2023,09/05/2024,1 - Installation Industrielle,16 - ALGER,147 - ROUIBA,5000000,"2500,000"
02301003230031,3302,0,19/02/2023,18/02/2024,1 - Installation Industrielle,2 - CHLEF,480 - BOUKADIR,15000000,"7050,000"
14301003230100,3302,0,11/04/2023,10/04/2024,1 - Installation Industrielle,14 - TIARET,1384 - TIARET,2000000,"2500,000"
12303003230063,3302,0,01/10/2023,30/09/2024,1 - Installation Industrielle,12 - TEBESSA,1322 - BIR EL ATER,1600000,"2500,000"
44301003230094,3302,0,10/11/2023,09/11/2024,1 - Installation Industrielle,44 - AIN DEFLA,34 - AIN-DEFLA,2200000,"2500,000"
18301003231178,3302,0,22/11/2023,21/11/2024,1 - Installation Industrielle,18 - JIJEL,698 - EMIR ABDELKADER,26000000,"11180,000"
35206003230022,3302,0,04/04/2023,03/04/2024,1 - Installation Industrielle,9 - BLIDA,354 - LARBAA BLIDA,3000000,"2500,000"
22202003230057,3302,0,30/07/2023,29/07/2024,1 - Installation Industrielle,22 - SIDI BEL ABBES,1223 - SIDI BEL ABBES,1000000,"2500,000"
21201003230076,3302,0,24/07/2023,23/07/2024,1 - Installation Industrielle,21 - SKIKDA,1265 - HAMADI KROUMA,2100000,"2500,000"
09306003230016,3302,0,17/01/2023,16/01/2024,1 - Installation Industrielle,9 - BLIDA,362 - SOUMAA BLIDA,1000000,"2500,000"
34303003230007,3302,0,05/01/2023,04/01/2024,1 - Installation Industrielle,34 - B.B ARRERIDJ,368 - BORDJ BOU ARRERIDJ,1000000,"2500,000"
16311003230474,3302,0,25/12/2023,24/12/2024,1 - Installation Industrielle,16 - ALGER,137 - LES EUCALYPTUS,3000000,"2500,000"
25309003230214,3302,0,25/10/2023,24/10/2024,1 - Installation Industrielle,25 - CONSTANTINE,513 - CONSTANTINE,3000000,"2500,000"
19306003230094,3302,0,23/01/2023,22/01/2024,1 - Installation Industrielle,19 - SETIF,1140 - BAZER SAKRA,37800000,"16254,000"
