NUMERO_POLICE,CODE_SOUS_BRANCHE,NUM_AVNT_COURS,DATE_EFFET,DATE_EXPIRATION,TYPE,WILAYA,COMMUNE,CAPITAL_ASSURE,PRIME_NETTE
42304003240468,3302,0,9/15/2024,9/14/2025,2   - Installation Commerciale,42  - TIPAZA           ,1417 - TIPAZA,1000000,2500
15302003240212,3301,0,5/27/2024,5/26/2025,Bien immobilier,15  - TIZI OUZOU       ,1459 - AZAZGA,1120000,1500
10302003240194,3302,0,5/16/2024,5/15/2025,2   - Installation Commerciale,10  - BOUIRA           ,410 - BOUIRA,1000000,2500
25306023240045,3302,0,1/28/2024,1/27/2025,2   - Installation Commerciale,4   - OUM EL BOUAGHI   ,1072 - SIGUS,1500000,2500
16308003240038,3301,0,4/13/2024,4/12/2025,Bien immobilier,34  - B.B ARRERIDJ     ,368 - BORDJ BOU ARRERIDJ,250000000,195000
34303013240035,3302,0,5/7/2024,5/6/2025,2   - Installation Commerciale,34  - B.B ARRERIDJ     ,369 - BORDJ GHDIR,1650000,2500
5302103240472,3301,0,10/15/2024,10/14/2025,Bien immobilier,5   - BATNA            ,208 - OUED TAGA,1116000,1500
5303003240547,3301,0,8/30/2024,8/29/2025,Bien immobilier,5   - BATNA            ,172 - ARRIS,1519310,1500
6307003240188,3301,0,10/21/2024,10/20/2025,Bien immobilier,6   - BEJAIA           ,260 - BEJAIA,2798680,1819.14
14301003240157,3302,1,7/11/2024,7/10/2025,2   - Installation Commerciale,14  - TIARET           ,1384 - TIARET,4000000,0
31310003240570,3301,0,11/28/2024,11/27/2025,Bien immobilier,31  - ORAN             ,1019 - ORAN,525000,1500
16314003240163,3302,0,5/12/2024,5/11/2025,2   - Installation Commerciale,35  - BOUMERDES        ,450 - BOUMERDES,1000000,2500
19314003240288,3301,0,12/31/2024,12/30/2025,Bien immobilier,19  - SETIF            ,1160 - EL OURICIA,2077620,1500
31210003240035,3301,0,8/29/2024,8/28/2025,Bien immobilier,48  - RELIZANE         ,1103 - RELIZANE,3653970,2375.08
16333003240121,3301,0,5/19/2024,5/18/2025,Bien immobilier,16  - ALGER            ,118 - CHERAGA ALGER,5890000,4417.5
11301003240783,3302,0,1/1/2025,12/31/2025,2   - Installation Commerciale,54  - IN GUEZZAM,1313 - IN GUEZZAM,1000000,2500
